REEF_ID,REEF_SUB_ID,REEF_NAME,REEF_AREA,LAT_DEG,LAT_MIN,LONG_DEG,LONG_MIN,GAZ_NAME,REEF_CLASS,FULLREEF_ID,G_SECTION,A_SECTOR,SHELF,LONG_DD,LAT_DD,AIMS_REEF_NAME,
12143,S,CAT REEF,620,12,59.5,143,51,CAT,LAGOONAL,12143S,FN,PC,O,143.85,-12.991667,CAT REEF,
12144,S,12144S,70,12,59,143,32,12-144,,12144S,FN,PC,,143.533333,-12.983333,12144S,
12145,S,SHERRARD REEF,60,12,59.5,143,37,SHERRARD ISLAND,,12145S,FN,PC,,143.616667,-12.991667,SHERRARD REEF,
12146,S,12146S,40,13,0,143,41,12-146,,12146S,FN,PC,,143.683333,-13,12146S,
12147,S,MAY ROCK REEF,10,12,50.5,143,33,MAY ROCK,,12147S,FN,PC,,143.55,-12.841667,MAY ROCK REEF,
12701,S,12701S,,0,0,0,0,12-701,,12701S,,,,0,0,12701S,
12702,S,12702S,,0,0,0,0,12-702,,12702S,,,,0,0,12702S,
12703,S,12703S,,0,0,0,0,12-703,,12703S,,,,0,0,12703S,
12704,S,12704S,,0,0,0,0,12-704,,12704S,,,,0,0,12704S,
12705,S,12705S,,0,0,0,0,12-705,,12705S,,,,0,0,12705S,
12706,S,12706S,,0,0,0,0,12-706,,12706S,,,,0,0,12706S,
12707,S,12707S,,0,0,0,0,12-707,,12707S,,,,0,0,12707S,
12708,S,12708S,,0,0,0,0,12-708,,12708S,,,,0,0,12708S,
12709,S,12709S,,0,0,0,0,12-709,,12709S,,,,0,0,12709S,
12710,S,12710S,,0,0,0,0,12-710,,12710S,,,,0,0,12710S,
12711,S,12711S,,0,0,0,0,12-711,,12711S,,,,0,0,12711S,
12712,S,12712S,,0,0,0,0,12-712,,12712S,,,,0,0,12712S,
12713,S,12713S,,0,0,0,0,12-713,,12713S,,,,0,0,12713S,
12714,S,12714S,,0,0,0,0,12-714,,12714S,,,,0,0,12714S,
12715,S,12715S,,0,0,0,0,12-715,,12715S,,,,0,0,12715S,
12716,S,12716S,,0,0,0,0,12-716,,12716S,,,,0,0,12716S,
12717,S,12717S,,0,0,0,0,12-717,,12717S,,,,0,0,12717S,
12718,S,12718S,,0,0,0,0,12-718,,12718S,,,,0,0,12718S,
12719,S,12719S,,0,0,0,0,12-719,,12719S,,,,0,0,12719S,
13001,S,13001S,3630,13,0,143,47,13-001,,13001S,FN,PC,,143.783333,-13,13001S,
13002,S,DERRY REEF,120,13,1.5,143,51,DERRY,,13002S,FN,PC,,143.85,-13.025,DERRY REEF,
13003,S,DUGDALE REEF,1,13,2,143,34.5,DUGDALE,,13003S,FN,PC,,143.575,-13.033333,DUGDALE REEF,
13004,S,WASP REEF,120,13,2,143,32.5,WASP,,13004S,FN,PC,,143.541667,-13.033333,WASP REEF,
13005,S,HAM REEF,250,13,2,143,52,HAM,,13005S,FN,PC,,143.866667,-13.033333,HAM REEF,
13006,S,OSBORNE REEF,500,13,2.5,143,37.5,OSBORNE,PLANAR,13006S,FN,PC,I,143.625,-13.041667,Osborne Reef,
13007,S,13007S,380,13,2,143,30.5,13-007,,13007S,FN,PC,,143.508333,-13.033333,13007S,
13008,S,MACNAMARA PATCH,20,13,3,143,38.5,MACNAMARA PATCH,,13008S,FN,PC,,143.641667,-13.05,MACNAMARA PATCH,
13009,S,WILSEN SHOAL,20,13,3,143,52,WILSEN SHOAL,,13009S,FN,PC,,143.866667,-13.05,WILSEN SHOAL,
13010,A,13010A,20,13,3.5,143,52.5,13-010,,13010A,FN,PC,,143.875,-13.058333,13010A,
13010,B,13010B,20,13,4,143,53,13-010,,13010B,FN,PC,,143.883333,-13.066667,13010B,
13011,S,13011S,1190,13,4,143,48,13-011,,13011S,FN,PC,,143.8,-13.066667,13011S,
13012,S,STORK REEF,140,13,4,143,33,STORK,,13012S,FN,PC,,143.55,-13.066667,STORK REEF,
13013,S,13013S,30,13,4.5,143,31.5,13-013,,13013S,FN,PC,,143.525,-13.075,13013S,
13014,S,13014S,1880,13,4,143,41,13-014,,13014S,FN,PC,,143.683333,-13.066667,13014S,
13015,S,FRANKLIN REEF,80,13,4.5,143,53.5,FRANKLIN,,13015S,FN,PC,,143.891667,-13.075,FRANKLIN REEF,
13016,A,13016A,10,13,4.5,143,54.5,13-016,,13016A,FN,PC,,143.908333,-13.075,13016A,
13016,B,13016B,10,13,4.5,143,55,13-016,,13016B,FN,PC,,143.916667,-13.075,13016B,
13017,A,13017A,10,13,4.5,143,55,13-017,,13017A,FN,PC,,143.916667,-13.075,13017A,
13017,B,13017B,10,13,4.5,143,55.5,13-017,,13017B,FN,PC,,143.925,-13.075,13017B,
13017,C,13017C,10,13,4.5,143,56,13-017,,13017C,FN,PC,,143.933333,-13.075,13017C,
13018,S,MORRIS ROCK REEF,1,13,5,143,36.5,MORRIS ROCK,,13018S,FN,PC,,143.608333,-13.083333,MORRIS ROCK REEF,
13019,S,13019S,20,13,6.5,143,30.5,13-019,,13019S,FN,PC,,143.508333,-13.108333,13019S,
13020,S,SYKES REEF(13020),20,13,6.5,143,33.5,SYKES (13020),,13020S,FN,PC,,143.558333,-13.108333,SYKES REEF(13020),
13021,S,COLCLOUGH REEF,1130,13,6,143,43,COLCLOUGH,,13021S,FN,PC,,143.716667,-13.1,COLCLOUGH REEF,
13022,S,NEW REEF,1690,13,6.5,143,39,NEW,,13022S,FN,PC,,143.65,-13.108333,NEW REEF,
